X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ
12152603.5379662,104237.309195818,1877,PO1000010053,DARMEX AGRO,DARMEX AGRO,DARMEX AGRO,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.936338,109.168695,"0.936338, 109.168695",109.168695,0.936338,IDN,Indonesia,Kalimantan Barat,Bengkayang,2-High Confidence, 
-8841502.57755522,-133211.135344521,1878,PO1000010054,UNKNOWN,AEXPALMA,OLEORIOS,Not RSPO Certified, ,2021/07/14 00:00:00+00,-1.196569,-79.424569,"-1.196569, -79.424569",-79.424569,-1.196569,ECU,Ecuador,Los Rios,Ventanas,1-Fully Verified, 
12208065.3573082,144813.271681288,1879,PO1000010055,DARMEX AGRO,CERIA PRIMA,CP 2,Not RSPO Certified, ,2021/07/14 00:00:00+00,1.300768,109.666917,"1.300768, 109.666917",109.666917,1.300768,IDN,Indonesia,Kalimantan Barat,Bengkayang,1-Fully Verified, 
12981374.3639348,-122336.488914454,1880,PO1000010056,UNKNOWN,ALAM PERMAI MAKMUR RAYA,ALAM PERMAI MAKMUR RAYA,Not RSPO Certified, ,2021/07/14 00:00:00+00,-1.0989,116.61367,"-1.0989, 116.613670",116.61367,-1.0989,IDN,Indonesia,Kalimantan Timur,Penajam Paser Utara,1-Fully Verified, 
11169408.6445767,160812.028414201,1881,PO1000010057,TORGANDA,TOR GANDA,TORGANDA,Not RSPO Certified, ,2021/07/14 00:00:00+00,1.444446,100.336505,"1.444446, 100.336505",100.336505,1.444446,IDN,Indonesia,Riau,Rokan Hilir,1-Fully Verified, 
-8835322.23074587,4815.57030973952,1882,PO1000010058,UNKNOWN,PALMAC,EXTRACTORA SOPALIN,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.043259,-79.36905,"0.043259, -79.36905",-79.36905,0.043259,ECU,Ecuador,Esmeraldas,Quinindé,2-High Confidence,OLEAGINOSAS DEL CASTILLO
10912450.6432151,274183.830296521,1883,PO1000010059,UNKNOWN,SINGKIL SEJAHTERA MAKMUR,SINGKIL SEJAHTERA MAKMUR,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.462277,98.028212,"2.462277, 98.028212",98.028212,2.462277,IDN,Indonesia,Aceh,Aceh Singkil,3-Low Confidence, 
-8816683.34048541,42955.6219156974,1884,PO1000010060,UNKNOWN,PALMAC,OLEOCASTILLO,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.385874,-79.201614,"0.385874, -79.201614",-79.201614,0.385874,ECU,Ecuador,Esmeraldas,Quinindé,1-Fully Verified, 
10735726.1648426,455929.747681297,1885,PO1000010061,UNKNOWN,KHARISMA ISKANDAR MUDA,KHARISMA ISKANDAR MUDA,Not RSPO Certified, ,2021/07/14 00:00:00+00,4.092203,96.440669,"4.092203, 96.440669",96.440669,4.092203,IDN,Indonesia,Aceh,Nagan Raya,1-Fully Verified, 
12394834.1933349,51621.6378425025,1886,PO1000010062,UNKNOWN,CAHAYA UNGGUL PRIMA,CAHAYA UNGGUL PRIMA,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.46372,111.34469,"0.46372, 111.34469",111.34469,0.46372,IDN,Indonesia,Kalimantan Barat,Sintang,3-Low Confidence, 
10908985.0448277,477764.882834236,1887,PO1000010063,UNKNOWN,BIMA DESA SAWITA,BIMA DESA SAWITA,Not RSPO Certified, ,2021/07/14 00:00:00+00,4.287827,97.99708,"4.287827, 97.997080",97.99708,4.287827,IDN,Indonesia,Aceh,Aceh Tamiang,2-High Confidence, 
10926272.5164699,485268.109111271,1888,PO1000010064,PARASAWITA,PARASAWITA,PARASAWITA,Not RSPO Certified, ,2021/07/14 00:00:00+00,4.355038,98.152376,"4.355038, 98.152376",98.152376,4.355038,IDN,Indonesia,Aceh,Aceh Tamiang,1-Fully Verified, 
11143996.29726,99746.3293566724,1889,PO1000010065,SUMBER TANI AGUNG (STA),KARYA AGUNG SAWITA,PAPASO,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.896,100.108222,"0.896, 100.108222",100.108222,0.896,IDN,Indonesia,Sumatera Utara,Padang Lawas,2-High Confidence, 
